#Index	age	gender
1	20	female
2	30	female
3	21	female
4	23	female
5	30	female
6	25	female
7	13	female
8	19	female
9	16	female
10	25	female
11	20	female
12	25	female
13	27	female
14	43	female
15	6	male
16	21	female
17	15	male
18	26	female
19	23	male
20	21	female
21	23	male
22	23	female
23	34	female
24	14	male
25	17	female
26	18	female
27	21	female
28	16	female
29	35	female
30	32	female
31	48	male
32	53	female
33	51	female
34	48	female
35	29	female
36	25	female
37	44	male
38	23	female
39	36	female
40	58	female
41	28	female
42	51	male
43	40	female
44	43	female
45	21	female
46	48	female
47	17	female
48	23	male
49	28	female
50	44	female
51	28	male
52	21	female
53	31	female
54	22	male
55	56	female
56	60	female
57	15	female
58	21	male
59	30	male
60	26	male
61	28	male
62	23	male
63	21	male
64	20	male
65	43	male
66	39	female
67	40	female
68	26	female
69	50	female
70	17	female
71	17	female
72	23	female
73	44	female
74	30	female
75	35	female
76	20	female
77	41	female
78	18	male
79	39	male
80	27	male
81	28	male
82	30	female
83	34	female
84	33	female
85	30	male
86	29	male
87	46	female
88	36	male
89	58	female
90	28	female
91	30	female
92	28	female
93	37	female
94	31	female
95	29	female
96	32	female
97	48	female
98	49	female
99	30	female
100	21	male
101	18	male
102	23	male
103	21	male
104	27	female
105	24	male
106	20	male
107	12	male
108	15	male
109	19	male
110	21	male
111	22	male
112	19	male
113	24	male
114	9	male
115	19	male
116	18	male
117	17	male
118	23	female
119	17	male
120	23	male
121	19	male
122	37	male
123	26	male
124	22	male
125	24	male
126	19	female
127	22	male
128	19	male
129	16	male
130	16	male
131	18	male
132	16	male
133	33	male
134	22	male
135	23	male
136	10	male
137	14	male
138	15	male
139	20	male
140	11	male
141	25	male
142	9	male
143	22	female
144	25	male
145	20	male
146	19	female
147	22	male
148	23	male
149	24	male
150	29	male
151	24	male
152	22	male
153	26	male
154	20	male
155	25	male
156	17	female
157	25	female
158	28	female
159	22	male
160	22	male
161	23	male
162	35	male
163	16	male
164	29	male
165	33	male
166	15	male
167	29	male
168	20	male
169	29	male
170	24	male
171	39	male
172	10	male
173	20	male
174	23	male
175	15	male
176	18	male
177	20	male
178	21	male
179	30	male
180	21	male
181	18	male
182	19	male
183	15	male
184	19	female
185	18	male
186	25	female
187	17	male
188	15	female
189	42	male
190	27	male
191	18	male
192	43	male
193	20	male
194	17	male
195	21	male
196	5	male
197	27	male
198	25	male
199	18	female
200	24	female
201	33	female
202	32	female
203	29	female
204	34	female
205	20	female
206	21	female
207	31	male
208	22	male
209	15	male
210	27	male
211	26	female
212	23	male
213	47	male
214	17	male
215	21	female
216	16	male
217	21	female
218	19	female
219	31	male
220	34	female
221	23	female
222	23	male
223	20	male
224	21	male
225	18	male
226	26	male
227	30	male
228	17	male
229	21	male
230	19	male
231	22	male
232	52	male
233	19	male
234	24	male
235	19	female
236	19	female
237	33	female
238	32	male
239	29	male
240	58	female
241	39	male
242	42	female
243	32	male
244	32	male
245	46	male
246	38	male
247	44	male
248	35	male
249	45	male
250	41	male
251	31	male
